ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	DemoAge.RESP	DemoAge.RT	DemoEthnicity.RESP	DemoEthnicity.RT	DemoGender.RESP	DemoGender.RT	DemoRace.RESP	DemoRace.RT	Display.RefreshRate	ExperimentVersion	Group	RandomSeed	responseMappingTool	responseMappingVal	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	InstructionSet	negResponse	posResponse	Procedure[Block]	Running[Block]	TaskList	TaskList.Cycle	TaskList.Sample	toolResponse	weaponResponse	Trial	APBlockList	APBlockList.Cycle	APBlockList.Sample	blockName	oneSecondReadyBreak.DurationError	oneSecondReadyBreak.OnsetDelay	oneSecondReadyBreak.OnsetTime	oneSecondReadyBreak.OnsetToOnsetTime	Practice[Trial]	Procedure[Trial]	Running[Trial]	WITBlockList	WITBlockList.Cycle	WITBlockList.Sample	SubTrial	anxQSlide.RESP	anxQSlide.RT	anxQtext	anxTestList	blackFaceList	blackNegPrac	blackPosPrac	blackToolPrac	blackWeaponPrac	BlankITI.DurationError	BlankITI.OnsetDelay	BlankITI.OnsetTime	BlankITI.OnsetToOnsetTime	correctRespData	CorrectResponse	errorQSlide.RESP	errorQSlide.RT	errorRespData	errQList	errQList.Cycle	errQList.Sample	errQText	errQTextList	facePictureFile	FixationMask.DurationError	FixationMask.OnsetDelay	FixationMask.OnsetTime	FixationMask.OnsetToOnsetTime	ITIDuration	ITIJitter	negList	noRespData	posList	postStimulusMaskFile	postTargetMask.DurationError	postTargetMask.OnsetDelay	postTargetMask.OnsetTime	postTargetMask.OnsetToOnsetTime	Practice[SubTrial]	PracticeListAP	PracticeListAP.Cycle	PracticeListAP.Sample	PracticeListWIT	PracticeListWIT.Cycle	PracticeListWIT.Sample	Prime.DurationError	Prime.OnsetDelay	Prime.OnsetTime	Prime.OnsetToOnsetTime	PrimeType	Procedure[SubTrial]	responseAccData	rtFeedback.DurationError	rtFeedback.OnsetDelay	rtFeedback.OnsetTime	rtFeedback.OnsetToOnsetTime	rtFeedbackText	Running[SubTrial]	TargetAP.ACC	TargetAP.CRESP	TargetAP.DurationError	TargetAP.OnsetDelay	TargetAP.OnsetTime	TargetAP.OnsetToOnsetTime	TargetAP.RESP	TargetAP.RT	TargetAP.RTTime	targetPictureFile	TargetType	TargetWIT.ACC	TargetWIT.CRESP	TargetWIT.DurationError	TargetWIT.OnsetDelay	TargetWIT.OnsetTime	TargetWIT.OnsetToOnsetTime	TargetWIT.RESP	TargetWIT.RT	TargetWIT.RTTime	targetWord	toolList	TrialListAP	TrialListAP.Cycle	TrialListAP.Sample	TrialListWIT	TrialListWIT.Cycle	TrialListWIT.Sample	weaponList	whiteFaceList	whiteNegPrac	whitePosPrac	whiteToolPrac	whiteWeaponPrac
Obs_Study2_gamecontroller	186	1	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2016-11-17T21:22:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2597685</Frequency><Timestamp dt:dt=""r8"">463224278783</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2016-11-17T21:22:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	Obs_Study2_gamecontroller-187-1	1	3342	2	15680	1	10699	6	9756	60.001	1.1.0.225	1	-631661013	toolRight	posRight	Professional	2.0.10.356	2.0.10.356	11/17/16	11/17/16 21:22	15:22:23	2.0.10.252	1	ToolRight			WITproc	TaskList	1	2	1	6	5	1				practiceWIT	0	42	1610554	1000	yes	practiceBlockWIT	WITBlockList	1	1	1	1								2		0	0	1613787	0	2	6			1						blackFace1.bmp	0	0	1611554	1000	800	1		3		mask.bmp	1	0	1612954	333	yes				1	2	1	0	0	1612554	200	black	TrialProcWIT	3	0	33	1613287	500	TOO SLOW	PracticeListWIT										tool2.bmp	tool	0	6	0	0	1612754	200		0	0														
Obs_Study2_gamecontroller	186	1	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2016-11-17T21:22:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2597685</Frequency><Timestamp dt:dt=""r8"">463224278783</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2016-11-17T21:22:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	Obs_Study2_gamecontroller-187-1	1	3342	2	15680	1	10699	6	9756	60.001	1.1.0.225	1	-631661013	toolRight	posRight	Professional	2.0.10.356	2.0.10.356	11/17/16	11/17/16 21:22	15:22:23	2.0.10.252	1	ToolRight			WITproc	TaskList	1	2	1	6	5	1				practiceWIT	0	42	1610554	1000	yes	practiceBlockWIT	WITBlockList	1	1	1	2										0	0	1616820	0	2	6			1						whiteFace4.bmp	0	17	1614604	1000	1200	3		3		mask.bmp	0	0	1616004	316	yes				3	2	2	0	0	1615604	200	white	TrialProcWIT	3	0	16	1616320	500	TOO SLOW	PracticeListWIT										tool3.bmp	tool	0	6	0	0	1615804	200		0	0													7	
Obs_Study2_gamecontroller	186	1	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2016-11-17T21:22:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2597685</Frequency><Timestamp dt:dt=""r8"">463224278783</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2016-11-17T21:22:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	Obs_Study2_gamecontroller-187-1	1	3342	2	15680	1	10699	6	9756	60.001	1.1.0.225	1	-631661013	toolRight	posRight	Professional	2.0.10.356	2.0.10.356	11/17/16	11/17/16 21:22	15:22:23	2.0.10.252	1	ToolRight			WITproc	TaskList	1	2	1	6	5	1				practiceWIT	0	42	1610554	1000	yes	practiceBlockWIT	WITBlockList	1	1	1	3									15	0	0	1620237	0	2	5			1						blackFace8.bmp	0	17	1618037	1000	1000	2		3		mask.bmp	0	0	1619437	300	yes				2	2	3	0	0	1619037	200	black	TrialProcWIT	2	0	0	1619737	500	+	PracticeListWIT										weapon3.bmp	weapon	1	5	0	0	1619237	200	5	354	1619591														
Obs_Study2_gamecontroller	186	1	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2016-11-17T21:22:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2597685</Frequency><Timestamp dt:dt=""r8"">463224278783</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2016-11-17T21:22:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	Obs_Study2_gamecontroller-187-1	1	3342	2	15680	1	10699	6	9756	60.001	1.1.0.225	1	-631661013	toolRight	posRight	Professional	2.0.10.356	2.0.10.356	11/17/16	11/17/16 21:22	15:22:23	2.0.10.252	1	ToolRight			WITproc	TaskList	1	2	1	6	5	1				practiceWIT	0	42	1610554	1000	yes	practiceBlockWIT	WITBlockList	1	1	1	4									8	0	0	1623454	0	2	5			1						blackFace4.bmp	0	17	1621254	1000	800	1		3		mask.bmp	0	0	1622654	300	yes				2	2	4	0	0	1622254	200	black	TrialProcWIT	1	0	0	1622954	500	+	PracticeListWIT										weapon4.bmp	weapon	0	5	0	0	1622454	200	6	341	1622795														
Obs_Study2_gamecontroller	186	1	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2016-11-17T21:22:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2597685</Frequency><Timestamp dt:dt=""r8"">463224278783</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2016-11-17T21:22:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	Obs_Study2_gamecontroller-187-1	1	3342	2	15680	1	10699	6	9756	60.001	1.1.0.225	1	-631661013	toolRight	posRight	Professional	2.0.10.356	2.0.10.356	11/17/16	11/17/16 21:22	15:22:23	2.0.10.252	1	ToolRight			WITproc	TaskList	1	2	1	6	5	1				practiceWIT	0	42	1610554	1000	yes	practiceBlockWIT	WITBlockList	1	1	1	5								12		0	0	1626470	0	2	6			1						blackFace6.bmp	1	16	1624270	1000	1200	3		3		mask.bmp	1	0	1625670	300	yes				1	2	5	1	0	1625270	200	black	TrialProcWIT	2	0	0	1625970	500	+	PracticeListWIT										tool4.bmp	tool	1	6	0	0	1625470	200	6	289	1625759														
Obs_Study2_gamecontroller	186	1	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2016-11-17T21:22:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2597685</Frequency><Timestamp dt:dt=""r8"">463224278783</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2016-11-17T21:22:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	Obs_Study2_gamecontroller-187-1	1	3342	2	15680	1	10699	6	9756	60.001	1.1.0.225	1	-631661013	toolRight	posRight	Professional	2.0.10.356	2.0.10.356	11/17/16	11/17/16 21:22	15:22:23	2.0.10.252	1	ToolRight			WITproc	TaskList	1	2	1	6	5	1				practiceWIT	0	42	1610554	1000	yes	practiceBlockWIT	WITBlockList	1	1	1	6									7	0	0	1629887	0	2	5			1						blackFace4.bmp	0	17	1627687	1000	1000	2		3		mask.bmp	0	0	1629087	300	yes				2	2	6	0	0	1628687	200	black	TrialProcWIT	1	0	0	1629387	500	+	PracticeListWIT										weapon3.bmp	weapon	0	5	0	0	1628887	200	6	368	1629255														
Obs_Study2_gamecontroller	186	1	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2016-11-17T21:22:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2597685</Frequency><Timestamp dt:dt=""r8"">463224278783</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2016-11-17T21:22:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	Obs_Study2_gamecontroller-187-1	1	3342	2	15680	1	10699	6	9756	60.001	1.1.0.225	1	-631661013	toolRight	posRight	Professional	2.0.10.356	2.0.10.356	11/17/16	11/17/16 21:22	15:22:23	2.0.10.252	1	ToolRight			WITproc	TaskList	1	2	1	6	5	1				practiceWIT	0	42	1610554	1000	yes	practiceBlockWIT	WITBlockList	1	1	1	7										0	-1	1633103	0	2	5			1						whiteFace6.bmp	1	16	1630903	1000	1000	2		3		mask.bmp	1	0	1632303	301	yes				4	2	7	1	0	1631903	200	white	TrialProcWIT	3	0	1	1632604	499	TOO SLOW	PracticeListWIT										weapon3.bmp	weapon	0	5	0	0	1632103	200		0	0														11
Obs_Study2_gamecontroller	186	1	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2016-11-17T21:22:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2597685</Frequency><Timestamp dt:dt=""r8"">463224278783</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2016-11-17T21:22:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	Obs_Study2_gamecontroller-187-1	1	3342	2	15680	1	10699	6	9756	60.001	1.1.0.225	1	-631661013	toolRight	posRight	Professional	2.0.10.356	2.0.10.356	11/17/16	11/17/16 21:22	15:22:23	2.0.10.252	1	ToolRight			WITproc	TaskList	1	2	1	6	5	1				practiceWIT	0	42	1610554	1000	yes	practiceBlockWIT	WITBlockList	1	1	1	8										0	0	1636320	0	2	5			1						whiteFace3.bmp	0	17	1634120	1000	1200	3		3		mask.bmp	0	0	1635520	300	yes				4	2	8	0	0	1635120	200	white	TrialProcWIT	2	0	0	1635820	500	+	PracticeListWIT										weapon1.bmp	weapon	1	5	0	0	1635320	200	5	335	1635655														5
Obs_Study2_gamecontroller	186	1	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2016-11-17T21:22:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2597685</Frequency><Timestamp dt:dt=""r8"">463224278783</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2016-11-17T21:22:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	Obs_Study2_gamecontroller-187-1	1	3342	2	15680	1	10699	6	9756	60.001	1.1.0.225	1	-631661013	toolRight	posRight	Professional	2.0.10.356	2.0.10.356	11/17/16	11/17/16 21:22	15:22:23	2.0.10.252	1	ToolRight			WITproc	TaskList	1	2	1	6	5	1				practiceWIT	0	42	1610554	1000	yes	practiceBlockWIT	WITBlockList	1	1	1	9										0	0	1639737	0	2	5			1						whiteFace5.bmp	0	17	1637537	1000	800	1		3		mask.bmp	0	0	1638937	300	yes				4	2	9	0	0	1638537	200	white	TrialProcWIT	1	0	0	1639237	500	+	PracticeListWIT										weapon2.bmp	weapon	0	5	0	0	1638737	200	6	474	1639211														10
Obs_Study2_gamecontroller	186	1	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2016-11-17T21:22:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2597685</Frequency><Timestamp dt:dt=""r8"">463224278783</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2016-11-17T21:22:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	Obs_Study2_gamecontroller-187-1	1	3342	2	15680	1	10699	6	9756	60.001	1.1.0.225	1	-631661013	toolRight	posRight	Professional	2.0.10.356	2.0.10.356	11/17/16	11/17/16 21:22	15:22:23	2.0.10.252	1	ToolRight			WITproc	TaskList	1	2	1	6	5	1				practiceWIT	0	42	1610554	1000	yes	practiceBlockWIT	WITBlockList	1	1	1	10										0	0	1642753	0	2	6			1						whiteFace1.bmp	1	16	1640553	1000	800	1		3		mask.bmp	1	0	1641953	300	yes				3	2	10	1	0	1641553	200	white	TrialProcWIT	2	0	0	1642253	500	+	PracticeListWIT										tool1.bmp	tool	1	6	0	0	1641753	200	6	486	1642239													1	
