Z:\Hannah\Observer study\Study II\Subject data\Obs_Study2_gamecontroller-193-1.edat2
This file contained edited data.
ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	DemoAge.RESP	DemoAge.RT	DemoEthnicity.RESP	DemoEthnicity.RT	DemoGender.RESP	DemoGender.RT	DemoRace.RESP	DemoRace.RT	Display.RefreshRate	ExperimentVersion	Group	RandomSeed	responseMappingTool	responseMappingVal	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	negResponse	posResponse	Procedure[Block]	Running[Block]	TaskList	TaskList.Cycle	TaskList.Sample	toolResponse	weaponResponse	Trial	APBlockList	APBlockList.Cycle	APBlockList.Sample	blockName	oneSecondReadyBreak.DurationError	oneSecondReadyBreak.OnsetDelay	oneSecondReadyBreak.OnsetTime	oneSecondReadyBreak.OnsetToOnsetTime	Practice[Trial]	Procedure[Trial]	Running[Trial]	WITBlockList	WITBlockList.Cycle	WITBlockList.Sample	SubTrial	anxQSlide.RESP	anxQSlide.RT	anxQtext	anxTestList	blackFaceList	blackNegPrac	blackPosPrac	blackToolPrac	blackWeaponPrac	BlankITI.DurationError	BlankITI.OnsetDelay	BlankITI.OnsetTime	BlankITI.OnsetToOnsetTime	correctRespData	CorrectResponse	errorQSlide.RESP	errorQSlide.RT	errorRespData	errQList	errQList.Cycle	errQList.Sample	errQText	errQTextList	facePictureFile	FixationMask.DurationError	FixationMask.OnsetDelay	FixationMask.OnsetTime	FixationMask.OnsetToOnsetTime	ITIDuration	ITIJitter	negList	noRespData	posList	postStimulusMaskFile	postTargetMask.DurationError	postTargetMask.OnsetDelay	postTargetMask.OnsetTime	postTargetMask.OnsetToOnsetTime	Practice[SubTrial]	PracticeListAP	PracticeListAP.Cycle	PracticeListAP.Sample	PracticeListWIT	PracticeListWIT.Cycle	PracticeListWIT.Sample	Prime.DurationError	Prime.OnsetDelay	Prime.OnsetTime	Prime.OnsetToOnsetTime	PrimeType	Procedure[SubTrial]	responseAccData	rtFeedback.DurationError	rtFeedback.OnsetDelay	rtFeedback.OnsetTime	rtFeedback.OnsetToOnsetTime	rtFeedbackText	Running[SubTrial]	TargetAP.ACC	TargetAP.CRESP	TargetAP.DurationError	TargetAP.OnsetDelay	TargetAP.OnsetTime	TargetAP.OnsetToOnsetTime	TargetAP.RESP	TargetAP.RT	TargetAP.RTTime	targetPictureFile	TargetType	TargetWIT.ACC	TargetWIT.CRESP	TargetWIT.DurationError	TargetWIT.OnsetDelay	TargetWIT.OnsetTime	TargetWIT.OnsetToOnsetTime	TargetWIT.RESP	TargetWIT.RT	TargetWIT.RTTime	targetWord	toolList	TrialListAP	TrialListAP.Cycle	TrialListAP.Sample	TrialListWIT	TrialListWIT.Cycle	TrialListWIT.Sample	weaponList	whiteFaceList	whiteNegPrac	whitePosPrac	whiteToolPrac	whiteWeaponPrac
Obs_Study2_gamecontroller	193	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2016-11-30T20:17:03Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3215439</Frequency><Timestamp dt:dt="r8">4148537094</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2016-11-30T20:17:03Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Obs_Study2_gamecontroller-777-1	6	1640	3	2852	2	1518	7	1322	60.002	1.1.0.228	1	-145812919	toolLeft	posLeft	Professional	2.0.10.356	2.0.10.356	11-30-2016	11/30/2016 8:17:03 PM	14:17:03	2.0.10.252	1	6	5	APproc	TaskList	2	2	1			1	1	1	1	practiceAP	0	19	79319	1000	yes	practiceBlockAP	APBlockList				1						4				0	0	82535	0	2	6			1						blackFace2.bmp	0	0	80319	1000	800	1		3		mask.bmp	0	0	81719	316	yes	2	2	1				0	0	81319	200	black	TrialProcAP	3	0	16	82035	500	TOO SLOW	PracticeListAP	0	6	0	0	81519	200		0	0		negative										sewage													
Obs_Study2_gamecontroller	193	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2016-11-30T20:17:03Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3215439</Frequency><Timestamp dt:dt="r8">4148537094</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2016-11-30T20:17:03Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Obs_Study2_gamecontroller-777-1	6	1640	3	2852	2	1518	7	1322	60.002	1.1.0.228	1	-145812919	toolLeft	posLeft	Professional	2.0.10.356	2.0.10.356	11-30-2016	11/30/2016 8:17:03 PM	14:17:03	2.0.10.252	1	6	5	APproc	TaskList	2	2	1			1	1	1	1	practiceAP	0	19	79319	1000	yes	practiceBlockAP	APBlockList				2										0	0	85568	0	2	6			1						whiteFace1.bmp	0	17	83352	1000	1000	2		3		mask.bmp	0	0	84752	316	yes	4	2	2				0	0	84352	200	white	TrialProcAP	3	0	16	85068	500	TOO SLOW	PracticeListAP	0	6	0	0	84552	200		0	0		negative										vomit										2			
Obs_Study2_gamecontroller	193	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2016-11-30T20:17:03Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3215439</Frequency><Timestamp dt:dt="r8">4148537094</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2016-11-30T20:17:03Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Obs_Study2_gamecontroller-777-1	6	1640	3	2852	2	1518	7	1322	60.002	1.1.0.228	1	-145812919	toolLeft	posLeft	Professional	2.0.10.356	2.0.10.356	11-30-2016	11/30/2016 8:17:03 PM	14:17:03	2.0.10.252	1	6	5	APproc	TaskList	2	2	1			1	1	1	1	practiceAP	0	19	79319	1000	yes	practiceBlockAP	APBlockList				3										0	0	88802	0	2	5			1						whiteFace1.bmp	0	17	86585	1000	1200	3		3		mask.bmp	0	0	87985	317	yes	3	2	3				0	0	87585	200	white	TrialProcAP	3	0	17	88302	500	TOO SLOW	PracticeListAP	0	5	0	0	87785	200		0	0		positive										beauty											1		
Obs_Study2_gamecontroller	193	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2016-11-30T20:17:03Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3215439</Frequency><Timestamp dt:dt="r8">4148537094</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2016-11-30T20:17:03Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Obs_Study2_gamecontroller-777-1	6	1640	3	2852	2	1518	7	1322	60.002	1.1.0.228	1	-145812919	toolLeft	posLeft	Professional	2.0.10.356	2.0.10.356	11-30-2016	11/30/2016 8:17:03 PM	14:17:03	2.0.10.252	1	6	5	APproc	TaskList	2	2	1			1	1	1	1	practiceAP	0	19	79319	1000	yes	practiceBlockAP	APBlockList				4							14			0	-1	92218	0	2	5			1						blackFace7.bmp	1	16	90018	1000	800	1		3		mask.bmp	0	0	91418	301	yes	1	2	4				1	0	91018	200	black	TrialProcAP	3	0	1	91719	499	TOO SLOW	PracticeListAP	0	5	0	0	91218	200		0	0		positive										smile													
Obs_Study2_gamecontroller	193	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2016-11-30T20:17:03Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3215439</Frequency><Timestamp dt:dt="r8">4148537094</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2016-11-30T20:17:03Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Obs_Study2_gamecontroller-777-1	6	1640	3	2852	2	1518	7	1322	60.002	1.1.0.228	1	-145812919	toolLeft	posLeft	Professional	2.0.10.356	2.0.10.356	11-30-2016	11/30/2016 8:17:03 PM	14:17:03	2.0.10.252	1	6	5	APproc	TaskList	2	2	1			1	1	1	1	practiceAP	0	19	79319	1000	yes	practiceBlockAP	APBlockList				5							15			0	0	95251	0	2	5			1						blackFace8.bmp	0	17	93035	1000	1000	2		3		mask.bmp	0	0	94435	316	yes	1	2	5				0	0	94035	200	black	TrialProcAP	3	0	16	94751	500	TOO SLOW	PracticeListAP	0	5	0	0	94235	200		0	0		positive										paradise													
Obs_Study2_gamecontroller	193	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2016-11-30T20:17:03Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3215439</Frequency><Timestamp dt:dt="r8">4148537094</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2016-11-30T20:17:03Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Obs_Study2_gamecontroller-777-1	6	1640	3	2852	2	1518	7	1322	60.002	1.1.0.228	1	-145812919	toolLeft	posLeft	Professional	2.0.10.356	2.0.10.356	11-30-2016	11/30/2016 8:17:03 PM	14:17:03	2.0.10.252	1	6	5	APproc	TaskList	2	2	1			1	1	1	1	practiceAP	0	19	79319	1000	yes	practiceBlockAP	APBlockList				6						12				0	0	98485	0	2	6			1						blackFace6.bmp	0	17	96268	1000	1200	3		3		mask.bmp	0	0	97668	317	yes	2	2	6				0	0	97268	200	black	TrialProcAP	3	0	17	97985	500	TOO SLOW	PracticeListAP	0	6	0	0	97468	200		0	0		negative										sewage													
Obs_Study2_gamecontroller	193	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2016-11-30T20:17:03Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3215439</Frequency><Timestamp dt:dt="r8">4148537094</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2016-11-30T20:17:03Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Obs_Study2_gamecontroller-777-1	6	1640	3	2852	2	1518	7	1322	60.002	1.1.0.228	1	-145812919	toolLeft	posLeft	Professional	2.0.10.356	2.0.10.356	11-30-2016	11/30/2016 8:17:03 PM	14:17:03	2.0.10.252	1	6	5	APproc	TaskList	2	2	1			1	1	1	1	practiceAP	0	19	79319	1000	yes	practiceBlockAP	APBlockList				7							1			0	0	101918	0	2	5			1						blackFace1.bmp	1	16	99701	1000	1200	3		3		mask.bmp	0	0	101101	317	yes	1	2	7				1	0	100701	200	black	TrialProcAP	3	0	17	101418	500	TOO SLOW	PracticeListAP	0	5	0	0	100901	200		0	0		positive										beauty													
Obs_Study2_gamecontroller	193	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2016-11-30T20:17:03Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3215439</Frequency><Timestamp dt:dt="r8">4148537094</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2016-11-30T20:17:03Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Obs_Study2_gamecontroller-777-1	6	1640	3	2852	2	1518	7	1322	60.002	1.1.0.228	1	-145812919	toolLeft	posLeft	Professional	2.0.10.356	2.0.10.356	11-30-2016	11/30/2016 8:17:03 PM	14:17:03	2.0.10.252	1	6	5	APproc	TaskList	2	2	1			1	1	1	1	practiceAP	0	19	79319	1000	yes	practiceBlockAP	APBlockList				8										0	-1	105334	0	2	5			1						whiteFace7.bmp	1	16	103134	1000	1000	2		3		mask.bmp	1	0	104534	301	yes	3	2	8				1	0	104134	200	white	TrialProcAP	3	0	1	104835	499	TOO SLOW	PracticeListAP	0	5	0	0	104334	200		0	0		positive										beauty											13		
Obs_Study2_gamecontroller	193	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2016-11-30T20:17:03Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3215439</Frequency><Timestamp dt:dt="r8">4148537094</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2016-11-30T20:17:03Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Obs_Study2_gamecontroller-777-1	6	1640	3	2852	2	1518	7	1322	60.002	1.1.0.228	1	-145812919	toolLeft	posLeft	Professional	2.0.10.356	2.0.10.356	11-30-2016	11/30/2016 8:17:03 PM	14:17:03	2.0.10.252	1	6	5	APproc	TaskList	2	2	1			1	1	1	1	practiceAP	0	19	79319	1000	yes	practiceBlockAP	APBlockList				9						11				0	0	108568	0	2	6			1						blackFace6.bmp	0	17	106351	1000	800	1		3		mask.bmp	0	0	107751	317	yes	2	2	9				0	0	107351	200	black	TrialProcAP	3	0	17	108068	500	TOO SLOW	PracticeListAP	0	6	0	0	107551	200		0	0		negative										garbage													
Obs_Study2_gamecontroller	193	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2016-11-30T20:17:03Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3215439</Frequency><Timestamp dt:dt="r8">4148537094</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2016-11-30T20:17:03Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Obs_Study2_gamecontroller-777-1	6	1640	3	2852	2	1518	7	1322	60.002	1.1.0.228	1	-145812919	toolLeft	posLeft	Professional	2.0.10.356	2.0.10.356	11-30-2016	11/30/2016 8:17:03 PM	14:17:03	2.0.10.252	1	6	5	APproc	TaskList	2	2	1			1	1	1	1	practiceAP	0	19	79319	1000	yes	practiceBlockAP	APBlockList				10										0	0	111584	0	2	6			1						whiteFace5.bmp	1	16	109384	1000	1200	3		3		mask.bmp	0	0	110784	300	yes	4	2	10				1	0	110384	200	white	TrialProcAP	2	0	0	111084	500	+	PracticeListAP	1	6	0	0	110584	200	6	367	110951		negative										vomit										10			
