id,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16
9442461,14,1,15,0,15,0,15,0,15,0,15,0,14,1,15,0
9442712,15,0,15,0,15,0,14,1,14,1,15,0,14,1,15,0
9442717,14,1,15,0,15,0,15,0,15,0,14,1,10,5,9,6
9442894,15,0,15,0,15,0,15,0,15,0,15,0,14,1,15,0
9442933,15,0,15,0,14,1,14,1,15,0,15,0,13,2,15,0
9444182,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0
9444356,10,5,14,1,14,1,12,3,15,0,15,0,15,0,14,1
9444493,13,2,15,0,15,0,15,0,14,1,15,0,14,1,14,1
9445217,14,1,15,0,15,0,13,2,15,0,15,0,14,1,11,4
9445626,14,1,13,2,14,1,14,1,14,1,15,0,15,0,15,0
9445650,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0
9445925,15,0,15,0,15,0,14,1,15,0,15,0,15,0,15,0
9446190,15,0,15,0,15,0,15,0,13,2,14,1,12,3,15,0
9446424,15,0,13,2,14,1,15,0,13,2,15,0,13,2,15,0
9446800,15,0,14,1,14,1,14,1,13,2,13,2,15,0,14,1
9447069,15,0,15,0,15,0,15,0,15,0,15,0,15,0,14,1
9447086,13,2,14,1,13,2,13,2,14,1,15,0,14,1,12,3
9447336,15,0,15,0,15,0,15,0,12,3,15,0,14,1,15,0
9447575,15,0,15,0,15,0,15,0,14,1,15,0,15,0,15,0
9447579,15,0,15,0,14,1,14,1,15,0,14,1,15,0,14,1
9447580,15,0,15,0,15,0,15,0,13,2,14,1,15,0,15,0
9447718,15,0,14,1,13,2,14,1,15,0,13,2,14,1,13,2
9448043,15,0,14,1,12,3,14,1,15,0,15,0,14,1,14,1
9448784,14,1,12,3,14,1,15,0,12,3,14,1,15,0,15,0
9448897,14,1,14,1,14,1,13,2,13,2,14,1,14,1,14,1
9448997,15,0,15,0,15,0,15,0,14,1,15,0,15,0,14,1
9449227,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0
9449237,14,1,15,0,15,0,15,0,15,0,12,3,15,0,14,1
9449285,14,1,14,1,15,0,15,0,14,1,15,0,15,0,14,1
9449327,14,1,12,3,14,1,15,0,15,0,15,0,15,0,15,0
9449491,15,0,15,0,15,0,14,1,15,0,15,0,13,2,14,1
9449684,15,0,15,0,15,0,14,1,15,0,13,2,15,0,15,0
9449687,15,0,13,2,15,0,15,0,14,1,14,1,12,3,12,3
9449925,15,0,15,0,14,1,14,1,14,1,11,4,15,0,14,1
9450050,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0
9450122,14,1,14,1,14,1,15,0,14,1,15,0,14,1,15,0
9450339,14,1,12,3,14,1,14,1,15,0,15,0,13,2,12,3
9450376,14,1,15,0,15,0,15,0,12,3,15,0,15,0,14,1
9450419,13,2,10,5,10,5,8,7,13,2,14,1,14,1,14,1
9450626,15,0,15,0,15,0,15,0,15,0,12,3,15,0,15,0
9450812,14,1,15,0,14,1,15,0,15,0,15,0,14,1,14,1
9450929,14,1,13,2,15,0,15,0,8,7,11,4,13,2,10,5
9451154,14,1,14,1,14,1,15,0,13,2,13,2,13,2,13,2
9451393,15,0,13,2,15,0,14,1,15,0,15,0,15,0,15,0
9451552,14,1,13,2,12,3,12,3,11,4,9,6,13,2,13,2
9451588,15,0,15,0,14,1,13,2,15,0,14,1,15,0,14,1
9451802,15,0,15,0,13,2,15,0,14,1,14,1,15,0,14,1
9452276,13,2,13,2,15,0,15,0,11,4,12,3,14,1,14,1
9452738,14,1,15,0,15,0,15,0,15,0,15,0,15,0,14,1
9452776,14,1,13,2,14,1,14,1,15,0,15,0,12,3,12,3
9452888,15,0,15,0,14,1,14,1,15,0,15,0,15,0,14,1
9453079,15,0,15,0,15,0,14,1,15,0,15,0,15,0,15,0
9453155,14,1,14,1,15,0,15,0,14,1,15,0,15,0,15,0
9453557,14,1,15,0,14,1,14,1,15,0,15,0,14,1,15,0
9453613,14,1,15,0,15,0,15,0,15,0,14,1,15,0,15,0
9453636,13,2,12,3,11,4,10,5,15,0,15,0,15,0,14,1
9453651,15,0,15,0,15,0,15,0,15,0,14,1,15,0,15,0
9453701,15,0,15,0,15,0,15,0,15,0,15,0,14,1,15,0
9455136,10,5,12,3,13,2,15,0,15,0,13,2,15,0,13,2
9455497,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0
9455809,15,0,15,0,13,2,15,0,15,0,13,2,14,1,15,0
9456323,15,0,14,1,15,0,15,0,15,0,15,0,15,0,15,0
9457000,13,2,6,9,10,5,12,3,13,2,14,1,10,5,12,3
9457154,12,3,15,0,15,0,14,1,15,0,14,1,14,1,14,1
9457242,15,0,15,0,15,0,15,0,15,0,14,1,15,0,15,0
9457308,14,1,10,5,14,1,15,0,12,3,15,0,13,2,15,0
9457536,15,0,15,0,15,0,15,0,14,1,15,0,15,0,15,0
9457574,14,1,14,1,15,0,15,0,15,0,14,1,15,0,15,0
9458648,13,2,15,0,15,0,15,0,13,2,14,1,15,0,14,1
9459111,12,3,15,0,15,0,14,1,15,0,15,0,15,0,15,0
9459463,12,3,14,1,15,0,15,0,14,1,15,0,15,0,15,0
9459686,15,0,15,0,14,1,14,1,9,6,8,7,9,6,14,1
9459707,15,0,15,0,15,0,14,1,9,6,13,2,15,0,15,0
9460265,15,0,15,0,15,0,15,0,15,0,15,0,14,1,13,2
9460451,10,5,14,1,15,0,14,1,14,1,11,4,13,2,14,1
9461597,15,0,15,0,15,0,15,0,15,0,15,0,15,0,13,2
9462849,14,1,15,0,15,0,15,0,15,0,15,0,15,0,14,1
9463202,15,0,15,0,15,0,14,1,14,1,14,1,15,0,14,1
9463328,15,0,14,1,14,1,13,2,15,0,15,0,15,0,15,0
9463530,15,0,15,0,15,0,15,0,14,1,13,2,14,1,15,0
9463548,15,0,15,0,14,1,15,0,14,1,15,0,15,0,15,0
9463972,14,1,14,1,15,0,15,0,14,1,15,0,15,0,11,4
9464358,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0
9464519,14,1,14,1,15,0,14,1,15,0,13,2,14,1,12,3
9464576,13,2,15,0,15,0,15,0,13,2,13,2,15,0,14,1
9465589,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0
9466217,15,0,14,1,11,4,14,1,12,3,12,3,13,2,13,2
9466292,15,0,14,1,15,0,14,1,14,1,11,4,15,0,15,0
9466428,13,2,14,1,14,1,15,0,15,0,15,0,13,2,14,1
9466488,15,0,13,2,15,0,15,0,14,1,15,0,15,0,14,1
