"Subject","t01","t02","t03","t04","t05","t06","t07","t08","t09","t10","t11","t12","t13","t14","t15","t16"
1,19,23,17,30,16,24,16,28,36,11,34,11,37,11,28,15
2,32,10,11,33,40,5,17,26,20,27,16,31,28,15,26,20
3,22,18,8,27,34,12,8,26,29,17,21,20,27,15,24,20
4,0,16,0,22,0,23,0,16,14,27,17,22,15,29,18,22
5,14,29,13,31,21,23,17,26,25,12,7,32,27,8,6,25
6,21,24,12,34,30,17,11,33,24,24,30,18,28,20,16,31
7,21,5,1,33,30,0,8,29,29,13,13,24,39,4,18,19
8,20,26,19,29,17,25,16,30,25,16,17,21,30,10,24,14
9,42,5,11,32,39,6,3,32,36,7,8,30,31,10,7,29
10,35,9,9,36,34,8,15,31,38,5,8,33,28,13,3,38
11,22,19,8,37,29,11,14,29,20,21,4,39,40,5,13,20
12,16,22,8,34,36,9,27,15,27,20,28,20,36,12,27,21
13,31,6,7,37,33,8,7,39,32,14,3,38,39,8,6,41
14,24,19,10,37,39,7,13,33,30,13,12,31,33,9,14,25
15,30,16,2,44,37,6,14,32,37,9,8,38,43,5,8,34
16,31,11,7,34,31,8,6,28,44,2,4,29,41,4,2,39
17,21,24,19,28,24,23,18,30,19,25,22,23,23,25,18,27
18,14,27,10,26,11,32,8,29,31,8,20,15,25,13,17,17
19,44,2,12,34,45,2,29,16,36,7,4,30,42,1,6,34
20,27,15,1,47,38,4,14,32,35,9,1,46,45,3,15,26
21,25,10,4,40,36,2,8,32,34,7,8,34,41,3,15,23
22,20,15,16,26,22,18,9,29,20,25,21,24,36,10,23,19
23,35,8,8,39,38,4,11,33,33,6,5,37,38,5,5,37
24,36,7,7,38,34,9,4,43,37,4,8,38,35,9,6,35
25,22,10,16,21,35,3,21,16,13,15,6,30,34,4,16,12
26,22,11,11,31,35,9,11,30,36,3,2,35,38,6,2,35
27,32,4,5,33,38,6,14,22,29,9,2,26,18,11,2,35
28,24,8,23,6,20,10,29,6,26,7,14,19,29,7,12,11
29,25,17,16,28,26,19,15,26,34,10,10,28,23,17,12,25
30,35,6,3,42,38,3,12,32,30,15,11,32,34,11,22,22
31,16,29,19,26,17,25,7,33,13,31,9,27,18,25,10,31
32,28,14,23,17,20,18,19,21,25,10,15,16,23,14,15,13
33,35,3,3,33,30,3,9,33,24,15,8,31,38,6,14,25
34,20,19,16,27,23,16,15,30,3,8,3,10,6,6,6,8
35,18,21,9,31,28,14,13,24,26,19,15,29,29,12,16,29
36,35,5,11,35,36,6,9,37,35,4,5,31,31,7,5,35
37,25,20,13,35,33,15,20,26,25,20,5,41,43,4,24,22
38,28,6,2,45,37,6,9,35,38,5,1,44,28,12,3,45
39,25,14,13,18,23,10,12,21,24,20,27,15,29,16,25,17
40,24,23,25,22,23,24,17,28,21,20,12,34,18,23,15,26
41,20,17,7,39,33,6,10,33,27,14,7,34,29,13,6,34
42,12,32,13,33,25,19,27,18,17,19,12,25,34,5,22,13
43,26,6,4,38,29,9,5,35,38,8,9,32,26,15,4,40
44,32,9,1,45,40,2,15,30,28,15,6,36,32,10,6,36
45,29,10,15,30,34,4,10,33,29,12,4,35,41,2,11,24
46,34,10,7,39,37,8,16,31,38,6,6,32,39,4,2,38
47,18,17,6,35,33,13,8,37,32,10,19,23,35,8,17,22
48,31,14,15,28,36,10,24,21,28,13,17,18,21,14,9,32
49,29,14,8,39,25,18,16,28,24,23,13,30,37,10,24,22
50,23,25,9,39,29,18,23,24,30,15,18,28,29,18,11,34
51,23,20,15,30,33,13,20,25,29,10,3,32,39,3,11,25
52,30,14,12,35,30,15,13,35,28,15,12,33,33,14,17,29
