"Subject","t01","t02","t03","t04","t05","t06","t07","t08","t09","t10","t11","t12","t13","t14","t15","t16"
2,37,5,5,42,37,8,14,31,35,8,8,34,37,5,9,34
3,28,9,21,23,29,12,33,11,25,21,14,31,22,25,10,35
4,26,11,3,36,27,5,6,33,24,13,8,31,36,6,9,31
5,31,2,3,41,42,1,5,33,30,2,0,37,35,2,2,31
6,30,6,5,37,34,4,7,35,32,10,3,40,41,3,8,34
7,10,16,11,18,12,27,10,17,13,17,15,14,29,7,17,14
8,21,7,3,32,27,2,3,36,32,2,8,20,28,5,3,23
10,33,8,14,27,30,14,15,27,30,11,6,35,35,8,8,28
11,24,11,1,44,37,7,6,34,31,7,3,32,38,0,4,35
12,23,11,13,33,32,9,22,20,24,15,19,23,25,12,24,17
13,30,9,9,27,31,7,8,31,34,7,6,32,39,2,8,27
14,31,13,6,35,35,9,12,29,26,18,27,17,26,17,17,22
15,19,19,4,41,30,4,19,24,15,4,2,19,18,2,4,14
16,36,10,12,32,39,7,21,24,31,16,24,23,26,21,21,23
17,22,8,16,19,32,9,15,22,25,8,6,17,23,5,7,26
18,29,11,7,32,29,14,10,31,24,15,7,27,28,11,8,25
19,14,5,2,19,15,5,3,16,18,11,4,19,19,4,6,15
20,28,13,9,35,32,10,14,32,29,18,23,24,34,13,17,27
21,32,5,3,44,30,8,6,39,30,3,6,34,34,7,4,32
22,7,31,11,33,25,10,23,19,26,18,18,26,31,16,29,15
23,20,21,5,40,40,5,15,25,15,29,3,42,35,9,23,19
24,20,23,9,37,22,20,10,34,27,19,14,29,39,7,27,19
25,27,6,9,34,31,4,11,27,23,12,9,24,31,7,9,18
26,33,9,14,27,29,13,11,30,32,9,22,22,20,22,15,31
27,18,7,2,35,31,5,9,29,24,7,6,30,30,4,6,29
28,23,17,15,29,24,20,15,32,39,8,18,26,35,10,7,40
29,20,21,12,31,26,18,19,27,17,24,11,28,32,11,11,30
30,26,11,12,27,35,8,25,17,24,19,20,17,36,7,27,16
31,2,0,1,5,8,4,5,6,25,11,27,8,29,10,29,7
32,17,28,15,28,29,16,24,20,23,14,4,30,33,4,12,13
33,18,23,8,31,31,7,22,15,21,19,13,29,31,16,19,28
34,31,12,8,38,41,5,15,29,27,19,21,23,35,13,30,17
35,25,6,0,42,31,4,6,35,20,1,2,18,18,2,3,17
