"Subject"	"Task"	"C_black"	"A_neg_black"	"A_pos_black"	"C_white"	"A_neg_white"	"A_pos_white"	"AResid"	"C_mean"	"IMS"	"EMS"	"Observer"
1	"APT"	0.0104018912529551	0.236502627806976	0.763497372193024	0.119670542635659	0.260319207484865	0.739680792515135	-0.334135798345222	0.065036216944307	5.6	2.2	"Present"
2	"APT"	0.0851063829787233	0.627906976744186	0.372093023255814	0.0859453993933266	0.381637168141593	0.618362831858407	0.0588314537693864	0.085525891186025	7	5.6	"Absent"
3	"APT"	0.118239660657476	0.419122068550812	0.580877931449188	0.0974025974025974	0.39568345323741	0.60431654676259	-0.149772500313912	0.107821129030037	NA	NA	"Present"
4	"APT"	0	0.601714285714286	0.398285714285714	0	0.594262295081967	0.405737704918033	0.0353779489629524	0	6.4	7.2	"Absent"
5	"APT"	0.496188496188496	0.643741403026135	0.356258596973865	0.577880184331797	0.541484716157205	0.458515283842795	0.0767251484345213	0.537034340260147	8	5.6	"Present"
6	"APT"	0	0.444444444444444	0.555555555555556	0.24290780141844	0.550351288056206	0.449648711943794	-0.122457584740489	0.12145390070922	6	3.2	"Absent"
7	"APT"	0.339124839124839	0.468354430379747	0.531645569620253	0.42049025769956	0.160520607375271	0.839479392624729	-0.103569671433062	0.3798075484122	4.6	4.8	"Present"
8	"APT"	0.162387676508344	0.465900383141762	0.534099616858237	0.118421052631579	0.283582089552239	0.716417910447761	-0.104438354224853	0.140404364569961	8.6	1.8	"Absent"
9	"APT"	0.626682986536108	0.436065573770492	0.563934426229508	0.561653116531165	0.556414219474498	0.443585780525502	-0.130758348473584	0.594168051533636	8.8	5	"Present"
10	"APT"	0.688598979013046	0.373406193078324	0.626593806921676	0.609756097560976	0.8125	0.1875	-0.190118652278015	0.649177538287011	9	5.8	"Absent"
11	"APT"	0.394781622234827	0.846298031865042	0.153701968134958	0.494949494949495	0.22	0.78	0.275140185363646	0.444865558592161	5.4	5	"Present"
12	"APT"	0	0.421792618629174	0.578207381370826	0.1875	0.307692307692308	0.692307692307692	-0.148235513973441	0.09375	5.2	6	"Absent"
13	"APT"	0.622481442205726	0.806179775280899	0.193820224719101	0.702127659574468	0.571428571428572	0.428571428571428	0.239549278464094	0.662304550890097	8.4	4	"Present"
14	"APT"	0.418604651162791	0.52	0.48	0.426739926739927	0.373801916932907	0.626198083067093	-0.0491764621839941	0.422672288951359	9	2.4	"Absent"
15	"APT"	0.630434782608696	0.529411764705882	0.470588235294118	0.705357142857143	0.353535353535353	0.646464646464647	-0.0400257855821115	0.667895962732919	4.4	1.8	"Present"
16	"APT"	0.835309617918314	0.264	0.736	0.862330623306233	0.645669291338583	0.354330708661417	-0.301674075719619	0.848820120612273	6.4	4.8	"Absent"
17	"APT"	0	0.537505972288581	0.462494027711419	0.0791666666666667	0.565610859728507	0.434389140271493	-0.0291994723764408	0.0395833333333334	9	2.6	"Present"
18	"APT"	0.223443223443223	0.264150943396226	0.735849056603773	0.157894736842105	0.40625	0.59375	-0.304607499791639	0.190668980142664	9	7	"Absent"
19	"APT"	0.719562243502052	0.580487804878049	0.419512195121951	0.826744186046512	0.134228187919463	0.865771812080537	0.00822498565121035	0.773153214774282	9	2	"Present"
20	"APT"	0.774177949709865	0.905781584582441	0.094218415417559	0.571646341463415	0.145907473309609	0.854092526690391	0.333669226112998	0.67291214558664	9	7	"Absent"
21	"APT"	0.638792102206736	0.472668810289389	0.527331189710611	0.537081339712919	0.147286821705426	0.852713178294574	-0.0994257784452278	0.587936720959827	6.2	7	"Present"
22	"APT"	0	0.543478260869565	0.456521739130435	0.234989648033126	0.284167794316644	0.715832205683356	-0.0268529310369032	0.117494824016563	5.6	3.6	"Absent"
23	"APT"	0.727106227106227	0.563758389261745	0.436241610738255	0.764673311184939	0.494117647058823	0.505882352941177	-0.00386808118246932	0.745889769145583	8.2	2.6	"Present"
24	"APT"	0.728525980911983	0.359375	0.640625	0.649113082039911	0.582938388625592	0.417061611374408	-0.207107219267701	0.688819531475947	6.4	2.6	"Absent"
25	"APT"	0.297619047619048	0.76271186440678	0.23728813559322	0.323308270676692	0.155555555555556	0.844444444444444	0.190723799309203	0.31046365914787	7.6	5	"Present"
26	"APT"	0.869022869022869	0.587301587301587	0.412698412698413	0.80958230958231	0.716129032258064	0.283870967741935	0.0225352234522109	0.839302589302589	8.6	6.4	"Absent"
27	"APT"	0.691729323308271	0.768292682926829	0.231707317073171	0.56663560111836	0.875268817204301	0.124731182795699	0.205576469559679	0.629182462213315	NA	NA	"Present"
28	"APT"	0.363636363636364	0.333333333333333	0.666666666666667	0.283816425120773	0.27150084317032	0.72849915682968	-0.237161043134493	0.323726394378568	9	5.2	"Absent"
29	"APT"	0.509569377990431	0.463414634146341	0.536585365853659	0.250675675675676	0.567177637511271	0.432822362488729	-0.103270626186849	0.380122526833053	8.8	2.2	"Present"
30	"APT"	0.410852713178295	0.565789473684211	0.434210526315789	0.255555555555556	0.328358208955224	0.671641791044776	-0.00397242626354603	0.333204134366925	7.6	7.4	"Absent"
31	"APT"	0.0454545454545454	0.738095238095238	0.261904761904762	0.174702212138401	0.70446735395189	0.29553264604811	0.173178640315289	0.110078378796473	8.8	2.6	"Present"
32	"APT"	0.230414746543779	0.37125748502994	0.62874251497006	0.0859073359073359	0.413938753959873	0.586061246040127	-0.197401906229183	0.158161041225557	9	2.8	"Absent"
33	"APT"	0.41025641025641	0.652173913043478	0.347826086956522	0.504662004662005	0.275294117647059	0.724705882352941	0.0817284042016851	0.457459207459207	7	3.2	"Present"
34	"APT"	0.041958041958042	0.759124087591241	0.240875912408759	0.0714285714285714	0.538461538461538	0.461538461538462	0.192068886301209	0.0566933066933067	6.4	5.6	"Absent"
35	"APT"	0.236868686868687	0.553275976174719	0.446724023825281	0.351761517615176	0.451505016722408	0.548494983277592	-0.0148994601026631	0.294315102241931	7.8	5	"Present"
36	"APT"	0.758547008547009	0.424778761061947	0.575221238938053	0.690789473684211	0.595744680851064	0.404255319148936	-0.141538478554748	0.72466824111561	7.8	8	"Absent"
37	"APT"	0.446859903381642	0.803493449781659	0.196506550218341	0.393154486586494	0.140243902439024	0.859756097560976	0.231308129214426	0.420007194984068	9	9	"Present"
38	"APT"	0.861498708010336	0.83955223880597	0.16044776119403	0.6375	0.827586206896552	0.172413793103448	0.276221744562738	0.749499354005168	8.4	7.6	"Absent"
39	"APT"	0	0.414201183431953	0.585798816568047	0.0492063492063493	0.373956594323873	0.626043405676127	-0.154973286089252	0.0246031746031746	8.6	3.8	"Present"
40	"APT"	0.251325556733828	0.651558073654391	0.348441926345609	0.073170731707317	0.605263157894737	0.394736842105263	0.0853634577443176	0.162248144220573	9	3.4	"Absent"
41	"APT"	0.48780487804878	0.666666666666667	0.333333333333333	0.54047619047619	0.673575129533679	0.326424870466321	0.101352093554469	0.514140534262485	7.2	5.8	"Present"
42	"APT"	0.147897897897898	0.619383259911894	0.380616740088106	0.243223443223443	0.169409486931268	0.830590513068732	0.0475736708886707	0.195560670560671	5.8	5.8	"Absent"
43	"APT"	0.606574761399788	0.442048517520216	0.557951482479784	0.543237250554324	0.800970873786408	0.199029126213592	-0.121624854137541	0.574906005977056	6.8	7	"Present"
44	"APT"	0.508305647840532	0.709459459459459	0.290540540540541	0.619047619047619	0.625	0.375	0.143519107411646	0.563676633444075	9	3	"Absent"
45	"APT"	0.604752970606629	0.740506329113924	0.259493670886076	0.639202657807309	0.128913443830571	0.871086556169429	0.168175041620898	0.621977814206969	5.4	4	"Present"
46	"APT"	0.705741626794258	0.463414634146341	0.536585365853659	0.856976744186046	0.650406504065041	0.349593495934959	-0.102198413471733	0.781359185490152	7.8	4.8	"Absent"
47	"APT"	0.30952380952381	0.344827586206897	0.655172413793103	0.378056052474657	0.299137104506232	0.700862895493768	-0.225310760531947	0.343789930999233	3.8	3	"Present"
48	"APT"	0.197212543554007	0.394965277777778	0.605034722222222	0.380487804878049	0.645669291338583	0.354330708661417	-0.170708797941841	0.288850174216028	9	6	"Absent"
49	"APT"	0.208312716476992	0.618125	0.381875	0.265494912118409	0.289672544080604	0.710327455919396	0.0478647241462768	0.2369038142977	9	7.6	"Present"
50	"APT"	0.27536231884058	0.46	0.54	0.3725768321513	0.610399397136398	0.389600602863602	-0.106128447268701	0.32396957549594	6	5.2	"Absent"
