"Subject"	"Task"	"C_black"	"A_black"	"C_white"	"A_gun_white"	"A_tool_white"	"AResid"	"C_mean"	"IMS"	"EMS"	"Observer"
1	"WIT"	0.0906788247213779	0.602228412256267	0.0363636363636364	0.622641509433962	0.377358490566038	-0.0411415455158604	0.0635212305425071	5.6	2.2	"Present"
2	"WIT"	0.511904761904762	0.487804878048781	0.493540051679586	0.219387755102041	0.780612244897959	-0.111087639411748	0.502722406792174	7	5.6	"Absent"
3	"WIT"	0.321428571428572	0.663157894736842	0.50383631713555	0.525773195876289	0.474226804123711	0.030472163926184	0.412632444282061	NA	NA	"Present"
4	"WIT"	0	1	0	1	0	0.31500875647436	0	6.4	7.2	"Absent"
5	"WIT"	0.0301268498942918	0.695367847411444	0.0819238900634249	0.56937248128958	0.43062751871042	0.0578732720611718	0.0560253699788584	8	5.6	"Present"
6	"WIT"	0.205797101449275	0.671532846715328	0.388297872340426	0.591304347826087	0.408695652173913	0.0316192652818628	0.29704748689485	6	3.2	"Absent"
7	"WIT"	0.778280542986425	0.86734693877551	0.783783783783784	0	1	0.29265210249668	0.781032163385105	4.6	4.8	"Present"
8	"WIT"	0.0389492753623187	0.588124410933082	0.056935817805383	0.631174533479693	0.368825466520307	-0.0561867087342397	0.0479425465838509	8.6	1.8	"Absent"
9	"WIT"	0.637803067788224	0.293715846994536	0.780952380952381	0.608695652173913	0.391304347826087	-0.348115932825831	0.709377724370302	8.8	5	"Present"
10	"WIT"	0.595454545454545	0.50561797752809	0.48343685300207	0.3687374749499	0.6312625250501	-0.109747277454975	0.539445699228308	9	5.8	"Absent"
11	"WIT"	0.358807588075881	0.722738799661876	0.399418604651163	0.457889641819942	0.542110358180058	0.097540380974778	0.379113096363522	5.4	5	"Present"
12	"WIT"	0.230576441102757	0.752442996742671	0.157142857142857	0.23728813559322	0.76271186440678	0.151576131625615	0.193859649122807	5.2	6	"Absent"
13	"WIT"	0.678746928746929	0.504780114722753	0.65270413573701	0.561832061068702	0.438167938931298	-0.131882779368025	0.665725532241969	8.4	4	"Present"
