"Subject"	"Observer"	"BNcor"	"BPcor"	"BNfa"	"BPfa"	"APT_BlackC"	"APT_BlackA"	"WPcor"	"WNcor"	"WPfa"	"WNfa"	"APT_WhiteC"	"APT_WhiteA"	"APT_DiffA"	"APT_MeanC"	"APT_AResid"	"BGcor"	"BTcor"	"BGfa"	"BTfa"	"WIT_BlackC"	"WIT_BlackA"	"WTcor"	"WGcor"	"WTfa"	"WGfa"	"WIT_WhiteC"	"WIT_WhiteA"	"WIT_DiffA"	"WIT_MeanC"	"WIT_AResid"	"WIT_MeanC.stand"	"WIT_AResid.stand"	"WIT_DiffA.stand"	"AP_MeanC.stand"	"AP_AResid.stand"	"AP_DiffA.stand"
2	"Absent"	34	35	8	8	0.541666666666667	0.363636363636364	37	34	5	9	0.583333333333333	0.45	-0.0863636363636364	0.5625	-0.024095307165956	42	37	5	5	0.770833333333333	0.454545454545455	37	31	8	14	0.479166666666667	0.56	-0.105454545454546	0.625	-0.0290004177148513	0.898879176965774	-0.182226002150483	-0.610893610884713	1.00836025427761	-0.170313401831142	-0.0609936763991168
3	"Present"	31	25	14	21	0.208333333333333	0.552631578947368	22	35	25	10	0.25	0.277777777777778	0.274853801169591	0.229166666666667	0.223671911457745	23	28	21	9	0.291666666666667	0.264705882352941	29	11	12	33	-0.0833333333333334	0.634615384615385	-0.369909502262443	0.104166666666667	-0.223749686549002	-1.27075165287908	-1.33543165427105	-1.77241754776862	-0.48758808356013	1.57770545331618	1.90472494756421
4	"Absent"	31	24	8	13	0.375	0.433333333333333	36	31	6	9	0.5625	0.428571428571429	0.00476190476190474	0.46875	0.0529143081044849	36	26	3	11	0.520833333333333	0.478260869565217	27	33	5	6	0.4375	0.222222222222222	0.256038647342995	0.479166666666667	0.0169407947020785	0.291382544609215	0.089814381577955	0.976836116412239	0.587624784260743	0.372996000712616	0.43490478999963
5	"Present"	37	30	0	2	0.729166666666667	0.153846153846154	35	31	2	2	0.6875	0.133333333333333	0.0205128205128206	0.708333333333333	-0.125820865703792	41	31	3	2	0.8125	0.222222222222222	42	33	1	5	0.770833333333333	0.454545454545455	-0.232323232323232	0.791666666666667	-0.254384734821986	1.59316104251613	-1.51683675547057	-1.16811900161941	1.66283765208162	-0.887995891719333	0.520620110520956
6	"Absent"	40	32	3	10	0.625	0.555555555555556	41	34	3	8	0.6875	0.533333333333333	0.0222222222222223	0.65625	0.139385818634193	37	30	5	6	0.645833333333333	0.352941176470588	34	35	4	7	0.5625	0.333333333333333	0.0196078431372549	0.604166666666667	-0.11569001595741	0.81209394377198	-0.695557504095764	-0.0616017401379963	1.42909572429447	0.983059881151	0.529922548406991
8	"Absent"	20	32	8	2	0.375	0.0666666666666667	28	23	5	3	0.520833333333333	0.130434782608696	-0.063768115942029	0.447916666666667	-0.212011202757399	32	21	3	7	0.520833333333333	0.304347826086956	27	36	2	3	0.5	0.125	0.179347826086956	0.510416666666667	-0.150575020906931	0.421560394399906	-0.902128676983203	0.639999077305875	0.494128013145885	-1.49607606930743	0.0619694773573008
10	"Absent"	35	30	6	11	0.5	0.458333333333333	35	28	8	8	0.5625	0.380952380952381	0.0773809523809524	0.53125	0.0941646316010822	27	33	14	8	0.395833333333333	0.275862068965517	30	27	14	15	0.3125	0.454545454545455	-0.178683385579937	0.354166666666667	-0.200744888078691	-0.229328854553549	-1.19920899330461	-0.932525134462746	0.868115097605319	0.664020550503808	0.830092285193881
11	"Present"	32	31	3	7	0.520833333333333	0.304347826086956	38	35	0	4	0.708333333333333	0.285714285714286	0.0186335403726708	0.614583333333333	-0.0273202286521003	44	24	1	11	0.6875	0.733333333333333	37	34	7	6	0.645833333333333	0.352941176470588	0.380392156862745	0.666666666666667	0.263411943688007	1.07244964335336	1.54929057780068	1.5230144890401	1.24210218206475	-0.193065497913358	0.510393206758047
12	"Absent"	23	24	19	15	0.166666666666667	0.375	25	17	12	24	0.0208333333333334	0.51063829787234	-0.13563829787234	0.09375	-0.0334249018931967	33	23	13	11	0.458333333333333	0.423076923076923	32	20	9	22	0.208333333333333	0.578947368421053	-0.155870445344129	0.333333333333333	-0.0617156871260266	-0.316114087747343	-0.375949109926273	-0.832327443050817	-1.09531709580671	-0.236134488190707	-0.329142746052596
13	"Present"	32	34	6	7	0.520833333333333	0.304347826086956	39	27	2	8	0.645833333333333	0.470588235294118	-0.166240409207161	0.583333333333333	-0.0904097198741835	27	30	9	9	0.375	0.3	31	31	7	8	0.479166666666667	0.32	-0.02	0.427083333333333	-0.167753858320215	0.0744194616247303	-1.00385297366711	-0.235565043558636	1.10185702539247	-0.638167238290661	-0.495677176378715
14	"Absent"	17	26	27	18	-0.0208333333333333	0.36734693877551	26	22	17	17	0.1875	0.435897435897436	-0.0685504971219257	0.0833333333333333	-0.0155721362220454	35	31	6	13	0.458333333333333	0.5	35	29	9	12	0.479166666666667	0.48	0.0199999999999999	0.46875	0.0217181323863879	0.247989928012318	0.118103334099394	-0.0598793311932379	-1.14206548136414	-0.110181704028831	0.0359441120914007
15	"Present"	19	15	2	4	0.3125	0.121212121212121	18	14	2	4	0.291666666666667	0.117647058823529	0.00356506238859178	0.302083333333333	-0.153101850597769	41	19	4	19	0.458333333333333	0.730769230769231	30	24	4	19	0.229166666666667	0.513513513513513	0.217255717255717	0.34375	0.250282172019839	-0.272721471150446	1.47154277936516	0.806495948912217	-0.160349384658125	-1.08046556646709	0.428391662174915
16	"Absent"	23	31	24	16	0.145833333333333	0.390243902439024	26	23	21	21	0.104166666666667	0.488372093023256	-0.0981281905842314	0.125	-0.0105825057855507	32	36	12	10	0.458333333333333	0.384615384615385	39	24	7	21	0.375	0.7	-0.315384615384615	0.416666666666667	-0.108142495776648	0.031026845027833	-0.65086494640837	-1.53293645794927	-0.955071939134423	-0.0749794358205565	-0.125015511812095
17	"Present"	17	25	6	8	0.1875	0.205128205128205	23	26	5	7	0.333333333333333	0.21875	-0.0136217948717949	0.260416666666667	-0.103687832193762	19	22	16	8	0.229166666666667	0.216216216216216	32	22	9	15	0.354166666666667	0.483870967741935	-0.267654751525719	0.291666666666667	-0.262320361299655	-0.489684554134931	-1.56382748032387	-1.32330007962043	-0.347342926887842	-0.731845452964563	0.334862053984187
18	"Absent"	27	24	7	15	0.25	0.416666666666667	28	25	11	8	0.416666666666667	0.285714285714286	0.130952380952381	0.333333333333333	0.0849986119276099	32	29	7	11	0.4375	0.407407407407407	29	31	14	10	0.395833333333333	0.344827586206897	0.0625798212005109	0.416666666666667	-0.0619801075273002	0.031026845027833	-0.37751487242238	0.127137324306838	-0.0201042279858374	0.599353500097051	1.12162404394374
20	"Absent"	24	29	23	18	0.125	0.428571428571429	34	27	13	17	0.354166666666667	0.548387096774194	-0.119815668202765	0.239583333333333	0.00726449260920657	35	28	9	13	0.458333333333333	0.5	32	32	10	14	0.375	0.466666666666667	0.0333333333333332	0.416666666666667	0.022595466494171	0.031026845027833	0.123298458363276	-0.00131742707143862	-0.440839698002701	0.0509326597145683	-0.243037163681042
21	"Present"	34	30	6	3	0.645833333333333	0.176470588235294	34	32	7	4	0.625	0.222222222222222	-0.0457516339869281	0.635416666666667	-0.1335303685083	44	32	3	5	0.8125	0.555555555555556	30	39	8	6	0.5	0.25	0.305555555555556	0.65625	0.0924077013012019	1.02905702675646	0.536690838466111	1.19432144874863	1.33559895317961	-0.942387091414553	0.160013841879939
