"Subject"	"PrimeType"	"TargetType"	"Accuracy"	"Task"	"TrialType"	"ConType"	"Observer"
2	"black"	"tool"	0.770833333333333	"WIT"	"black_tool"	"incongruent"	"Absent"
2	"black"	"weapon"	0.875	"WIT"	"black_weapon"	"congruent"	"Absent"
2	"white"	"tool"	0.770833333333333	"WIT"	"white_tool"	"congruent"	"Absent"
2	"white"	"weapon"	0.645833333333333	"WIT"	"white_weapon"	"incongruent"	"Absent"
3	"black"	"tool"	0.583333333333333	"WIT"	"black_tool"	"incongruent"	"Present"
3	"black"	"weapon"	0.479166666666667	"WIT"	"black_weapon"	"congruent"	"Present"
3	"white"	"tool"	0.604166666666667	"WIT"	"white_tool"	"congruent"	"Present"
3	"white"	"weapon"	0.229166666666667	"WIT"	"white_weapon"	"incongruent"	"Present"
4	"black"	"tool"	0.541666666666667	"WIT"	"black_tool"	"incongruent"	"Absent"
4	"black"	"weapon"	0.75	"WIT"	"black_weapon"	"congruent"	"Absent"
4	"white"	"tool"	0.5625	"WIT"	"white_tool"	"congruent"	"Absent"
4	"white"	"weapon"	0.6875	"WIT"	"white_weapon"	"incongruent"	"Absent"
5	"black"	"tool"	0.645833333333333	"WIT"	"black_tool"	"incongruent"	"Present"
5	"black"	"weapon"	0.854166666666667	"WIT"	"black_weapon"	"congruent"	"Present"
5	"white"	"tool"	0.875	"WIT"	"white_tool"	"congruent"	"Present"
5	"white"	"weapon"	0.6875	"WIT"	"white_weapon"	"incongruent"	"Present"
6	"black"	"tool"	0.625	"WIT"	"black_tool"	"incongruent"	"Absent"
6	"black"	"weapon"	0.770833333333333	"WIT"	"black_weapon"	"congruent"	"Absent"
6	"white"	"tool"	0.708333333333333	"WIT"	"white_tool"	"congruent"	"Absent"
6	"white"	"weapon"	0.729166666666667	"WIT"	"white_weapon"	"incongruent"	"Absent"
7	"black"	"tool"	0.208333333333333	"WIT"	"black_tool"	"incongruent"	"Present"
7	"black"	"weapon"	0.375	"WIT"	"black_weapon"	"congruent"	"Present"
7	"white"	"tool"	0.25	"WIT"	"white_tool"	"congruent"	"Present"
7	"white"	"weapon"	0.354166666666667	"WIT"	"white_weapon"	"incongruent"	"Present"
8	"black"	"tool"	0.4375	"WIT"	"black_tool"	"incongruent"	"Absent"
8	"black"	"weapon"	0.666666666666667	"WIT"	"black_weapon"	"congruent"	"Absent"
8	"white"	"tool"	0.5625	"WIT"	"white_tool"	"congruent"	"Absent"
8	"white"	"weapon"	0.75	"WIT"	"white_weapon"	"incongruent"	"Absent"
9	"black"	"tool"	0	"WIT"	"black_tool"	"incongruent"	"Present"
9	"black"	"weapon"	0.708333333333333	"WIT"	"black_weapon"	"congruent"	"Present"
9	"white"	"tool"	0.0208333333333333	"WIT"	"white_tool"	"congruent"	"Present"
9	"white"	"weapon"	0.6875	"WIT"	"white_weapon"	"incongruent"	"Present"
10	"black"	"tool"	0.6875	"WIT"	"black_tool"	"incongruent"	"Absent"
10	"black"	"weapon"	0.5625	"WIT"	"black_weapon"	"congruent"	"Absent"
10	"white"	"tool"	0.625	"WIT"	"white_tool"	"congruent"	"Absent"
10	"white"	"weapon"	0.5625	"WIT"	"white_weapon"	"incongruent"	"Absent"
11	"black"	"tool"	0.5	"WIT"	"black_tool"	"incongruent"	"Present"
11	"black"	"weapon"	0.916666666666667	"WIT"	"black_weapon"	"congruent"	"Present"
11	"white"	"tool"	0.770833333333333	"WIT"	"white_tool"	"congruent"	"Present"
11	"white"	"weapon"	0.708333333333333	"WIT"	"white_weapon"	"incongruent"	"Present"
12	"black"	"tool"	0.479166666666667	"WIT"	"black_tool"	"incongruent"	"Absent"
12	"black"	"weapon"	0.6875	"WIT"	"black_weapon"	"congruent"	"Absent"
12	"white"	"tool"	0.666666666666667	"WIT"	"white_tool"	"congruent"	"Absent"
12	"white"	"weapon"	0.416666666666667	"WIT"	"white_weapon"	"incongruent"	"Absent"
13	"black"	"tool"	0.625	"WIT"	"black_tool"	"incongruent"	"Present"
13	"black"	"weapon"	0.5625	"WIT"	"black_weapon"	"congruent"	"Present"
13	"white"	"tool"	0.645833333333333	"WIT"	"white_tool"	"congruent"	"Present"
13	"white"	"weapon"	0.645833333333333	"WIT"	"white_weapon"	"incongruent"	"Present"
14	"black"	"tool"	0.645833333333333	"WIT"	"black_tool"	"incongruent"	"Absent"
14	"black"	"weapon"	0.729166666666667	"WIT"	"black_weapon"	"congruent"	"Absent"
14	"white"	"tool"	0.729166666666667	"WIT"	"white_tool"	"congruent"	"Absent"
14	"white"	"weapon"	0.604166666666667	"WIT"	"white_weapon"	"incongruent"	"Absent"
15	"black"	"tool"	0.395833333333333	"WIT"	"black_tool"	"incongruent"	"Present"
15	"black"	"weapon"	0.854166666666667	"WIT"	"black_weapon"	"congruent"	"Present"
15	"white"	"tool"	0.625	"WIT"	"white_tool"	"congruent"	"Present"
15	"white"	"weapon"	0.5	"WIT"	"white_weapon"	"incongruent"	"Present"
16	"black"	"tool"	0.75	"WIT"	"black_tool"	"incongruent"	"Absent"
16	"black"	"weapon"	0.666666666666667	"WIT"	"black_weapon"	"congruent"	"Absent"
16	"white"	"tool"	0.8125	"WIT"	"white_tool"	"congruent"	"Absent"
16	"white"	"weapon"	0.5	"WIT"	"white_weapon"	"incongruent"	"Absent"
17	"black"	"tool"	0.458333333333333	"WIT"	"black_tool"	"incongruent"	"Present"
17	"black"	"weapon"	0.395833333333333	"WIT"	"black_weapon"	"congruent"	"Present"
17	"white"	"tool"	0.666666666666667	"WIT"	"white_tool"	"congruent"	"Present"
17	"white"	"weapon"	0.458333333333333	"WIT"	"white_weapon"	"incongruent"	"Present"
18	"black"	"tool"	0.604166666666667	"WIT"	"black_tool"	"incongruent"	"Absent"
18	"black"	"weapon"	0.666666666666667	"WIT"	"black_weapon"	"congruent"	"Absent"
18	"white"	"tool"	0.604166666666667	"WIT"	"white_tool"	"congruent"	"Absent"
18	"white"	"weapon"	0.645833333333333	"WIT"	"white_weapon"	"incongruent"	"Absent"
19	"black"	"tool"	0.291666666666667	"WIT"	"black_tool"	"incongruent"	"Present"
19	"black"	"weapon"	0.395833333333333	"WIT"	"black_weapon"	"congruent"	"Present"
19	"white"	"tool"	0.3125	"WIT"	"white_tool"	"congruent"	"Present"
19	"white"	"weapon"	0.333333333333333	"WIT"	"white_weapon"	"incongruent"	"Present"
20	"black"	"tool"	0.583333333333333	"WIT"	"black_tool"	"incongruent"	"Absent"
20	"black"	"weapon"	0.729166666666667	"WIT"	"black_weapon"	"congruent"	"Absent"
20	"white"	"tool"	0.666666666666667	"WIT"	"white_tool"	"congruent"	"Absent"
20	"white"	"weapon"	0.666666666666667	"WIT"	"white_weapon"	"incongruent"	"Absent"
21	"black"	"tool"	0.666666666666667	"WIT"	"black_tool"	"incongruent"	"Present"
21	"black"	"weapon"	0.916666666666667	"WIT"	"black_weapon"	"congruent"	"Present"
21	"white"	"tool"	0.625	"WIT"	"white_tool"	"congruent"	"Present"
21	"white"	"weapon"	0.8125	"WIT"	"white_weapon"	"incongruent"	"Present"
22	"black"	"tool"	0.145833333333333	"WIT"	"black_tool"	"incongruent"	"Absent"
22	"black"	"weapon"	0.6875	"WIT"	"black_weapon"	"congruent"	"Absent"
22	"white"	"tool"	0.520833333333333	"WIT"	"white_tool"	"congruent"	"Absent"
22	"white"	"weapon"	0.395833333333333	"WIT"	"white_weapon"	"incongruent"	"Absent"
23	"black"	"tool"	0.416666666666667	"WIT"	"black_tool"	"incongruent"	"Present"
23	"black"	"weapon"	0.833333333333333	"WIT"	"black_weapon"	"congruent"	"Present"
23	"white"	"tool"	0.833333333333333	"WIT"	"white_tool"	"congruent"	"Present"
23	"white"	"weapon"	0.520833333333333	"WIT"	"white_weapon"	"incongruent"	"Present"
24	"black"	"tool"	0.416666666666667	"WIT"	"black_tool"	"incongruent"	"Absent"
24	"black"	"weapon"	0.770833333333333	"WIT"	"black_weapon"	"congruent"	"Absent"
24	"white"	"tool"	0.458333333333333	"WIT"	"white_tool"	"congruent"	"Absent"
24	"white"	"weapon"	0.708333333333333	"WIT"	"white_weapon"	"incongruent"	"Absent"
25	"black"	"tool"	0.5625	"WIT"	"black_tool"	"incongruent"	"Present"
25	"black"	"weapon"	0.708333333333333	"WIT"	"black_weapon"	"congruent"	"Present"
25	"white"	"tool"	0.645833333333333	"WIT"	"white_tool"	"congruent"	"Present"
25	"white"	"weapon"	0.5625	"WIT"	"white_weapon"	"incongruent"	"Present"
26	"black"	"tool"	0.6875	"WIT"	"black_tool"	"incongruent"	"Absent"
26	"black"	"weapon"	0.5625	"WIT"	"black_weapon"	"congruent"	"Absent"
26	"white"	"tool"	0.604166666666667	"WIT"	"white_tool"	"congruent"	"Absent"
26	"white"	"weapon"	0.625	"WIT"	"white_weapon"	"incongruent"	"Absent"
27	"black"	"tool"	0.375	"WIT"	"black_tool"	"incongruent"	"Present"
27	"black"	"weapon"	0.729166666666667	"WIT"	"black_weapon"	"congruent"	"Present"
27	"white"	"tool"	0.645833333333333	"WIT"	"white_tool"	"congruent"	"Present"
27	"white"	"weapon"	0.604166666666667	"WIT"	"white_weapon"	"incongruent"	"Present"
28	"black"	"tool"	0.479166666666667	"WIT"	"black_tool"	"incongruent"	"Absent"
28	"black"	"weapon"	0.604166666666667	"WIT"	"black_weapon"	"congruent"	"Absent"
28	"white"	"tool"	0.5	"WIT"	"white_tool"	"congruent"	"Absent"
28	"white"	"weapon"	0.666666666666667	"WIT"	"white_weapon"	"incongruent"	"Absent"
29	"black"	"tool"	0.416666666666667	"WIT"	"black_tool"	"incongruent"	"Present"
29	"black"	"weapon"	0.645833333333333	"WIT"	"black_weapon"	"congruent"	"Present"
29	"white"	"tool"	0.541666666666667	"WIT"	"white_tool"	"congruent"	"Present"
29	"white"	"weapon"	0.5625	"WIT"	"white_weapon"	"incongruent"	"Present"
