C:\Users\bartholowlab\Documents\My Experiments\Hannah\Observer Study II\Obs_Study2_gamecontroller-87-1.edat2																																																																																																																																															
ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	DemoAge.RESP	DemoAge.RT	DemoEthnicity.RESP	DemoEthnicity.RT	DemoGender.RESP	DemoGender.RT	DemoRace.RESP	DemoRace.RT	Display.RefreshRate	ExperimentVersion	Group	RandomSeed	responseMappingTool	responseMappingVal	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	negResponse	posResponse	Procedure[Block]	Running[Block]	TaskList	TaskList.Cycle	TaskList.Sample	toolResponse	weaponResponse	Trial	APBlockList	APBlockList.Cycle	APBlockList.Sample	blockName	oneSecondReadyBreak.DurationError	oneSecondReadyBreak.OnsetDelay	oneSecondReadyBreak.OnsetTime	oneSecondReadyBreak.OnsetToOnsetTime	Practice[Trial]	Procedure[Trial]	Running[Trial]	WITBlockList	WITBlockList.Cycle	WITBlockList.Sample	SubTrial	anxQSlide.RESP	anxQSlide.RT	anxQtext	anxTestList	blackFaceList	blackNegPrac	blackPosPrac	blackToolPrac	blackWeaponPrac	BlankITI.DurationError	BlankITI.OnsetDelay	BlankITI.OnsetTime	BlankITI.OnsetToOnsetTime	correctRespData	CorrectResponse	errorQSlide.RESP	errorQSlide.RT	errorRespData	errQList	errQList.Cycle	errQList.Sample	errQText	errQTextList	facePictureFile	FixationMask.DurationError	FixationMask.OnsetDelay	FixationMask.OnsetTime	FixationMask.OnsetToOnsetTime	ITIDuration	ITIJitter	negList	noRespData	posList	postStimulusMaskFile	postTargetMask.DurationError	postTargetMask.OnsetDelay	postTargetMask.OnsetTime	postTargetMask.OnsetToOnsetTime	Practice[SubTrial]	PracticeListAP	PracticeListAP.Cycle	PracticeListAP.Sample	PracticeListWIT	PracticeListWIT.Cycle	PracticeListWIT.Sample	Prime.DurationError	Prime.OnsetDelay	Prime.OnsetTime	Prime.OnsetToOnsetTime	PrimeType	Procedure[SubTrial]	responseAccData	rtFeedback.DurationError	rtFeedback.OnsetDelay	rtFeedback.OnsetTime	rtFeedback.OnsetToOnsetTime	rtFeedbackText	Running[SubTrial]	TargetAP.ACC	TargetAP.CRESP	TargetAP.DurationError	TargetAP.OnsetDelay	TargetAP.OnsetTime	TargetAP.OnsetToOnsetTime	TargetAP.RESP	TargetAP.RT	TargetAP.RTTime	targetPictureFile	TargetType	TargetWIT.ACC	TargetWIT.CRESP	TargetWIT.DurationError	TargetWIT.OnsetDelay	TargetWIT.OnsetTime	TargetWIT.OnsetToOnsetTime	TargetWIT.RESP	TargetWIT.RT	TargetWIT.RTTime	targetWord	toolList	TrialListAP	TrialListAP.Cycle	TrialListAP.Sample	TrialListWIT	TrialListWIT.Cycle	TrialListWIT.Sample	weaponList	whiteFaceList	whiteNegPrac	whitePosPrac	whiteToolPrac	whiteWeaponPrac
Obs_Study2_gamecontroller	87	1		Obs_Study2_gamecontroller-87-1									60.002		1	-467247198	toolLeft	posRight				10/20/16	10/20/16 19:26	14:26:19		1			WITproc							1				practiceWIT	1	15	389242	1000	yes	practiceBlockWIT	WITBlockList	1	1	1	1									3	0	0	392459	0	2	6			1						blackFace2.bmp	1	0	390242	1000	1200	3		3		mask.bmp	1	0	391642	317	yes				2	2	1	1	0	391242	200	black	TrialProcWIT	3	0	17	391959	500	TOO SLOW	PracticeListWIT										weapon3.bmp	weapon	0	6	0	0	391442	200		0	0														
Obs_Study2_gamecontroller	87	1		Obs_Study2_gamecontroller-87-1									60.002		1	-467247198	toolLeft	posRight				10/20/16	10/20/16 19:26	14:26:19		1			WITproc							1				practiceWIT	1	15	389242	1000	yes	practiceBlockWIT	WITBlockList	1	1	1	2										0	0	395875	0	2	5			1						whiteFace8.bmp	1	16	393675	1000	1000	2		3		mask.bmp	1	0	395075	300	yes				3	2	2	1	0	394675	200	white	TrialProcWIT	1	0	0	395375	500	+	PracticeListWIT										tool3.bmp	tool	0	5	0	0	394875	200	6	327	395202													15	
Obs_Study2_gamecontroller	87	1		Obs_Study2_gamecontroller-87-1									60.002		1	-467247198	toolLeft	posRight				10/20/16	10/20/16 19:26	14:26:19		1			WITproc							1				practiceWIT	1	15	389242	1000	yes	practiceBlockWIT	WITBlockList	1	1	1	3									6	0	-1	399092	0	2	6			1						blackFace3.bmp	0	17	396892	1000	800	1		3		mask.bmp	0	0	398292	301	yes				2	2	3	0	0	397892	200	black	TrialProcWIT	3	0	1	398593	499	TOO SLOW	PracticeListWIT										weapon2.bmp	weapon	0	6	0	0	398092	200		0	0														
Obs_Study2_gamecontroller	87	1		Obs_Study2_gamecontroller-87-1									60.002		1	-467247198	toolLeft	posRight				10/20/16	10/20/16 19:26	14:26:19		1			WITproc							1				practiceWIT	1	15	389242	1000	yes	practiceBlockWIT	WITBlockList	1	1	1	4								15		0	0	402109	0	2	5			1						blackFace8.bmp	0	17	399909	1000	1000	2		3		mask.bmp	0	0	401309	300	yes				1	2	4	0	0	400909	200	black	TrialProcWIT	1	0	0	401609	500	+	PracticeListWIT										tool3.bmp	tool	0	5	0	0	401109	200	6	13	401122														
Obs_Study2_gamecontroller	87	1		Obs_Study2_gamecontroller-87-1									60.002		1	-467247198	toolLeft	posRight				10/20/16	10/20/16 19:26	14:26:19		1			WITproc							1				practiceWIT	1	15	389242	1000	yes	practiceBlockWIT	WITBlockList	1	1	1	5										0	0	405325	0	2	6			1						whiteFace7.bmp	1	16	403125	1000	1200	3		3		mask.bmp	1	0	404525	300	yes				4	2	5	1	0	404125	200	white	TrialProcWIT	2	0	0	404825	500	+	PracticeListWIT										weapon2.bmp	weapon	1	6	0	0	404325	200	6	97	404422														14
Obs_Study2_gamecontroller	87	1		Obs_Study2_gamecontroller-87-1									60.002		1	-467247198	toolLeft	posRight				10/20/16	10/20/16 19:26	14:26:19		1			WITproc							1				practiceWIT	1	15	389242	1000	yes	practiceBlockWIT	WITBlockList	1	1	1	6									12	0	0	408742	0	2	6			1						blackFace6.bmp	0	17	406542	1000	800	1		3		mask.bmp	0	0	407942	300	yes				2	2	6	0	0	407542	200	black	TrialProcWIT	1	0	0	408242	500	+	PracticeListWIT										weapon4.bmp	weapon	0	6	0	0	407742	200	5	280	408022														
Obs_Study2_gamecontroller	87	1		Obs_Study2_gamecontroller-87-1									60.002		1	-467247198	toolLeft	posRight				10/20/16	10/20/16 19:26	14:26:19		1			WITproc							1				practiceWIT	1	15	389242	1000	yes	practiceBlockWIT	WITBlockList	1	1	1	7								12		0	0	411758	0	2	5			1						blackFace6.bmp	1	16	409558	1000	800	1		3		mask.bmp	1	0	410958	300	yes				1	2	7	1	0	410558	200	black	TrialProcWIT	1	0	0	411258	500	+	PracticeListWIT										tool4.bmp	tool	0	5	0	0	410758	200	6	168	410926														
Obs_Study2_gamecontroller	87	1		Obs_Study2_gamecontroller-87-1									60.002		1	-467247198	toolLeft	posRight				10/20/16	10/20/16 19:26	14:26:19		1			WITproc							1				practiceWIT	1	15	389242	1000	yes	practiceBlockWIT	WITBlockList	1	1	1	8										0	0	414775	0	2	6			1						whiteFace4.bmp	0	17	412575	1000	1200	3		3		mask.bmp	0	0	413975	300	yes				4	2	8	0	0	413575	200	white	TrialProcWIT	1	0	0	414275	500	+	PracticeListWIT										weapon4.bmp	weapon	0	6	0	0	413775	200	5	67	413842														8
Obs_Study2_gamecontroller	87	1		Obs_Study2_gamecontroller-87-1									60.002		1	-467247198	toolLeft	posRight				10/20/16	10/20/16 19:26	14:26:19		1			WITproc							1				practiceWIT	1	15	389242	1000	yes	practiceBlockWIT	WITBlockList	1	1	1	9									11	0	0	418191	0	2	6			1						blackFace6.bmp	1	16	415991	1000	1000	2		3		mask.bmp	1	0	417391	300	yes				2	2	9	1	0	416991	200	black	TrialProcWIT	2	0	0	417691	500	+	PracticeListWIT										weapon3.bmp	weapon	1	6	0	0	417191	200	6	459	417650														
Obs_Study2_gamecontroller	87	1		Obs_Study2_gamecontroller-87-1									60.002		1	-467247198	toolLeft	posRight				10/20/16	10/20/16 19:26	14:26:19		1			WITproc							1				practiceWIT	1	15	389242	1000	yes	practiceBlockWIT	WITBlockList	1	1	1	10										0	-1	421408	0	2	6			1						whiteFace7.bmp	0	17	419208	1000	1200	3		3		mask.bmp	0	0	420608	301	yes				4	2	10	0	0	420208	200	white	TrialProcWIT	3	0	1	420909	499	TOO SLOW	PracticeListWIT										weapon1.bmp	weapon	0	6	0	0	420408	200		0	0														13
Obs_Study2_gamecontroller	87	1		Obs_Study2_gamecontroller-87-1									60.002		1	-467247198	toolLeft	posRight				10/20/16	10/20/16 19:26	14:26:19		1			WITproc							1				practiceWIT	1	15	389242	1000	yes	practiceBlockWIT	WITBlockList	1	1	1	11										0	0	424825	0	2	5			1						whiteFace4.bmp	0	17	422625	1000	800	1		3		mask.bmp	0	0	424025	300	yes				3	2	11	0	0	423625	200	white	TrialProcWIT	2	0	0	424325	500	+	PracticeListWIT										tool3.bmp	tool	1	5	0	0	423825	200	5	369	424194													7	
Obs_Study2_gamecontroller	87	1		Obs_Study2_gamecontroller-87-1									60.002		1	-467247198	toolLeft	posRight				10/20/16	10/20/16 19:26	14:26:19		1			WITproc							1				practiceWIT	1	15	389242	1000	yes	practiceBlockWIT	WITBlockList	1	1	1	12										0	-1	427841	0	2	5			1						whiteFace5.bmp	1	16	425641	1000	1000	2		3		mask.bmp	0	0	427041	301	yes				3	2	12	1	0	426641	200	white	TrialProcWIT	3	0	1	427342	499	TOO SLOW	PracticeListWIT										tool1.bmp	tool	0	5	0	0	426841	200		0	0													9	
Obs_Study2_gamecontroller	87	1		Obs_Study2_gamecontroller-87-1									60.002		1	-467247198	toolLeft	posRight				10/20/16	10/20/16 19:26	14:26:19		1			WITproc							1				practiceWIT	1	15	389242	1000	yes	practiceBlockWIT	WITBlockList	1	1	1	13										0	0	431074	0	2	6			1						whiteFace8.bmp	0	17	428858	1000	1200	3		3		mask.bmp	0	0	430258	316	yes				4	2	13	0	0	429858	200	white	TrialProcWIT	3	0	16	430574	500	TOO SLOW	PracticeListWIT										weapon4.bmp	weapon	0	6	0	0	430058	200		0	0														16
