Subject	startDate	endDate	status	ipAddress	progress	duration	finished	recordedDate	_recordId	recipientLastName	recipientFirstName	recipientEmail	externalDataReference	locationLatitude	locationLongitude	distributionChannel	QID1_TEXT	EMS_1	IMS_1	EMS_2	IMS_2	IMS_3	IMS_4	IMS_5	EMS_3	EMS_4	EMS_5	QID13_FIRST_CLICK	QID13_LAST_CLICK	QID13_PAGE_SUBMIT	QID13_CLICK_COUNT	SA_1	SA_2	SA_3	SA_4	SA_5	QID22_FIRST_CLICK	QID22_LAST_CLICK	QID22_PAGE_SUBMIT	QID22_CLICK_COUNT	SC_0i8lbRWofmU8oAt	QID1_TEXT_27902c38e399465ca8b01419Topic0
15	9/18/16 14:46	9/18/16 14:49	IP Address	70.195.64.3	100	181	TRUE	9/18/16 14:49	R_1MX6SVCRg12d2LE					38.41529846	-89.90640259	anonymous	ww6gm	3	1	9	9	9	9	7	7	5	1	30.093	139.734	140.94	11	1	3	6	4	1	6.929	23.843	24.882	5	18	
29	9/15/16 23:32	9/15/16 23:34	IP Address	161.130.188.82	100	120	TRUE	9/15/16 23:34	R_27EkuI8nvjQCvwa					38.95170593	-92.33409882	anonymous	jw1xt	7	8	7	4	6	7	8	6	6	7	30.156	76.988	77.97	10	2	1	3	4	3	7.415	24.366	26.559	5	20	Unknown
13	9/15/16 21:53	9/15/16 21:55	IP Address	161.130.188.198	100	123	TRUE	9/15/16 21:55	R_2WZRaEQwSVfYP5M					38.95170593	-92.33409882	anonymous	pc3ou	2	3	7	5	5	5	4	6	6	6	22.035	82.387	85.142	13	4	5	2	4	5	6.703	23.123	27.697	7	22	Unknown
16	9/15/16 19:35	9/15/16 19:39	IP Address	161.130.188.223	100	212	TRUE	9/15/16 19:39	R_SJA8sO2b3cBG95T					38.95170593	-92.33409882	anonymous	cn8e3	7	1	7	9	9	9	9	5	7	1	57.59	109.005	110.235	12	4	4	2	5	5	8.639	52.932	53.791	7	27	Unknown
18	9/15/16 16:27	9/15/16 16:31	IP Address	161.130.188.108	100	226	TRUE	9/15/16 16:31	R_3qULRWQ40piiCOY					38.95170593	-92.33409882	anonymous	tb7wj	3	1	8	8	8	8	8	8	8	7	41.588	136.509	137.657	14	4	1	6	1	1	9.848	29.64	31.448	5	16	Unknown
8	9/13/16 16:28	9/13/16 16:33	IP Address	128.206.28.182	100	325	TRUE	9/13/16 16:33	R_2THtx18mSva1dbV					38.95170593	-92.33409882	anonymous	f69s7	5	1	5	7	7	5	9	5	5	5	14.895	91.396	101.585	13	4	3	6	4	4	6.508	26.256	27.327	6	26	Unknown
12	9/11/16 13:29	9/11/16 13:32	IP Address	161.130.188.42	100	129	TRUE	9/11/16 13:32	R_1ON5zRSrG1zUq5U					38.95170593	-92.33409882	anonymous	ibo4w	1	1	1	5	9	9	9	1	7	1	13.579	89.317	90.273	15	4	3	4	5	5	6.004	18.907	19.785	6	22	Unknown
11	9/8/16 13:27	9/8/16 13:29	IP Address	161.130.188.43	100	127	TRUE	9/8/16 13:29	R_Pza6Chn1x9otKmd					38.95170593	-92.33409882	anonymous	bqgn7	6	2	9	9	9	9	8	6	7	2	0.536	92.613	97.96	18	5	4	5	3	4	5.568	16.418	17.197	5	27	Unknown
9	9/8/16 13:23	9/8/16 13:25	IP Address	161.130.188.53	100	161	TRUE	9/8/16 13:25	R_3I9NiebGjKa1ZUP					38.95170593	-92.33409882	anonymous	xkina	2	1	2	9	9	9	9	1	9	4	7.853	85.367	86.356	11	4	2	2	3	1	53.329	62.057	63.67	6	14	Unknown
10	9/8/16 9:33	9/8/16 9:36	IP Address	69.29.79.118	100	164	TRUE	9/8/16 9:36	R_23dkNbO6z7LxaWO					38.88169861	-92.40200043	anonymous	seifj	7	1	9	9	9	9	9	5	7	1	35.59	115.118	117.363	10	1	1	6	1	1	19.448	33.912	36.67	5	17	Unknown
