"Observer"	"Subject"	"Type"	"value"	"PrimeType"	"Estimate"	"Task"
"Absent"	2	"Black_C"	0.541666666666667	"Black"	"C"	"AP"
"Present"	3	"Black_C"	0.208333333333333	"Black"	"C"	"AP"
"Absent"	4	"Black_C"	0.375	"Black"	"C"	"AP"
"Present"	5	"Black_C"	0.729166666666667	"Black"	"C"	"AP"
"Absent"	6	"Black_C"	0.625	"Black"	"C"	"AP"
"Present"	7	"Black_C"	-0.0625	"Black"	"C"	"AP"
"Absent"	8	"Black_C"	0.375	"Black"	"C"	"AP"
"Absent"	10	"Black_C"	0.5	"Black"	"C"	"AP"
"Present"	11	"Black_C"	0.520833333333333	"Black"	"C"	"AP"
"Absent"	12	"Black_C"	0.166666666666667	"Black"	"C"	"AP"
"Present"	13	"Black_C"	0.520833333333333	"Black"	"C"	"AP"
"Absent"	14	"Black_C"	-0.0208333333333333	"Black"	"C"	"AP"
"Present"	15	"Black_C"	0.3125	"Black"	"C"	"AP"
"Absent"	16	"Black_C"	0.145833333333333	"Black"	"C"	"AP"
"Present"	17	"Black_C"	0.1875	"Black"	"C"	"AP"
"Absent"	18	"Black_C"	0.25	"Black"	"C"	"AP"
"Present"	19	"Black_C"	0.166666666666667	"Black"	"C"	"AP"
"Absent"	20	"Black_C"	0.125	"Black"	"C"	"AP"
"Present"	21	"Black_C"	0.645833333333333	"Black"	"C"	"AP"
"Absent"	22	"Black_C"	0.166666666666667	"Black"	"C"	"AP"
"Present"	23	"Black_C"	0.270833333333333	"Black"	"C"	"AP"
"Absent"	24	"Black_C"	0.208333333333333	"Black"	"C"	"AP"
"Present"	25	"Black_C"	0.25	"Black"	"C"	"AP"
"Absent"	26	"Black_C"	0.270833333333333	"Black"	"C"	"AP"
"Present"	27	"Black_C"	0.479166666666667	"Black"	"C"	"AP"
"Absent"	28	"Black_C"	0.375	"Black"	"C"	"AP"
"Present"	29	"Black_C"	0.0833333333333334	"Black"	"C"	"AP"
"Absent"	30	"Black_C"	-0.0416666666666666	"Black"	"C"	"AP"
"Present"	31	"Black_C"	-0.0625	"Black"	"C"	"AP"
"Absent"	32	"Black_C"	0.333333333333333	"Black"	"C"	"AP"
"Present"	33	"Black_C"	0.208333333333333	"Black"	"C"	"AP"
"Absent"	34	"Black_C"	0.0833333333333334	"Black"	"C"	"AP"
"Present"	35	"Black_C"	0.354166666666667	"Black"	"C"	"AP"
"Absent"	36	"Black_C"	0.0833333333333333	"Black"	"C"	"AP"
"Absent"	38	"Black_C"	0.25	"Black"	"C"	"AP"
"Present"	39	"Black_C"	0.375	"Black"	"C"	"AP"
"Absent"	40	"Black_C"	0.8125	"Black"	"C"	"AP"
"Present"	41	"Black_C"	0.395833333333333	"Black"	"C"	"AP"
"Absent"	42	"Black_C"	0.729166666666667	"Black"	"C"	"AP"
"Present"	43	"Black_C"	0.583333333333333	"Black"	"C"	"AP"
"Absent"	44	"Black_C"	0.520833333333333	"Black"	"C"	"AP"
"Present"	45	"Black_C"	0.1875	"Black"	"C"	"AP"
"Absent"	46	"Black_C"	0.3125	"Black"	"C"	"AP"
"Present"	47	"Black_C"	0.291666666666667	"Black"	"C"	"AP"
"Absent"	48	"Black_C"	0.208333333333333	"Black"	"C"	"AP"
"Absent"	49	"Black_C"	0.6875	"Black"	"C"	"AP"
"Present"	50	"Black_C"	0.458333333333333	"Black"	"C"	"AP"
"Present"	51	"Black_C"	0.208333333333333	"Black"	"C"	"AP"
"Absent"	52	"Black_C"	0.5625	"Black"	"C"	"AP"
"Present"	53	"Black_C"	0.104166666666667	"Black"	"C"	"AP"
"Absent"	54	"Black_C"	0.0208333333333333	"Black"	"C"	"AP"
"Present"	55	"Black_C"	0.375	"Black"	"C"	"AP"
"Absent"	56	"Black_C"	0.125	"Black"	"C"	"AP"
"Present"	57	"Black_C"	0.604166666666667	"Black"	"C"	"AP"
"Absent"	58	"Black_C"	0.4375	"Black"	"C"	"AP"
"Present"	59	"Black_C"	0.520833333333333	"Black"	"C"	"AP"
"Absent"	60	"Black_C"	0.666666666666667	"Black"	"C"	"AP"
"Present"	61	"Black_C"	0.145833333333333	"Black"	"C"	"AP"
"Absent"	62	"Black_C"	0.583333333333333	"Black"	"C"	"AP"
"Present"	63	"Black_C"	0.5	"Black"	"C"	"AP"
"Absent"	64	"Black_C"	0.416666666666667	"Black"	"C"	"AP"
"Present"	65	"Black_C"	0.125	"Black"	"C"	"AP"
"Absent"	66	"Black_C"	0.75	"Black"	"C"	"AP"
"Present"	67	"Black_C"	0.4375	"Black"	"C"	"AP"
"Absent"	68	"Black_C"	0.270833333333333	"Black"	"C"	"AP"
"Present"	69	"Black_C"	0.6875	"Black"	"C"	"AP"
"Absent"	70	"Black_C"	0.0833333333333333	"Black"	"C"	"AP"
"Present"	71	"Black_C"	0.458333333333333	"Black"	"C"	"AP"
"Absent"	72	"Black_C"	0.666666666666667	"Black"	"C"	"AP"
"Present"	73	"Black_C"	0.208333333333333	"Black"	"C"	"AP"
"Absent"	74	"Black_C"	0.479166666666667	"Black"	"C"	"AP"
"Present"	75	"Black_C"	-0.0208333333333333	"Black"	"C"	"AP"
"Absent"	76	"Black_C"	0.3125	"Black"	"C"	"AP"
"Present"	77	"Black_C"	0.3125	"Black"	"C"	"AP"
"Absent"	78	"Black_C"	0.520833333333333	"Black"	"C"	"AP"
"Present"	79	"Black_C"	0.854166666666667	"Black"	"C"	"AP"
"Absent"	80	"Black_C"	0.166666666666667	"Black"	"C"	"AP"
